Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/collect,1578,0,360,1336.3077093452257,207.63042010366917,16702.71999691613,105.04562737642586,3.7583029315645087,0.0,360,610,860,1100,4300,7500,8300,15000,17000,17000,17000
,Aggregated,1578,0,360,1336.3077093452257,207.63042010366917,16702.71999691613,105.04562737642586,3.7583029315645087,0.0,360,610,860,1100,4300,7500,8300,15000,17000,17000,17000
