epoch_s,name,response_time_ms,success
1776368551.651644,/collect,779.61,1
1776368553.501815,/collect,508.38,1
1776368555.103080,/collect,634.78,1
1776368556.750005,/collect,653.26,1
1776368558.194367,/collect,614.77,1
1776368559.569440,/collect,580.99,1
1776368561.365362,/collect,616.11,1
1776368562.633603,/collect,684.73,1
1776368564.659618,/collect,640.54,1
1776368566.405793,/collect,533.3,1
1776368567.553244,/collect,558.96,1
1776368568.735258,/collect,601.47,1
1776368569.911879,/collect,496.99,1
1776368571.768160,/collect,667.33,1
1776368573.687216,/collect,727.15,1
1776368575.317212,/collect,616.99,1
1776368576.567408,/collect,761.64,1
1776368578.742030,/collect,676.42,1
1776368580.423607,/collect,684.09,1
1776368582.113143,/collect,622.68,1
1776368584.162577,/collect,668.91,1
1776368585.337538,/collect,657.25,1
1776368586.652838,/collect,672.93,1
1776368588.435437,/collect,591.4,1
1776368590.062152,/collect,723.1,1
1776368591.905528,/collect,703.57,1
1776368593.399820,/collect,605.31,1
1776368595.068692,/collect,753.34,1
1776368596.572385,/collect,663.93,1
1776368598.397836,/collect,639.53,1
1776368600.328314,/collect,597.94,1
1776368602.117629,/collect,622.36,1
1776368603.586279,/collect,534.69,1
1776368605.161525,/collect,646.38,1
1776368607.083055,/collect,555.36,1
1776368608.145505,/collect,587.84,1
1776368610.069046,/collect,736.94,1
1776368611.380150,/collect,825.06,1
1776368611.753835,/collect,1563.56,1
1776368613.102071,/collect,1907.28,1
1776368611.755261,/collect,3273.55,1
1776368611.748254,/collect,3440.04,1
1776368611.753069,/collect,3552.25,1
1776368614.667657,/collect,1637.09,1
1776368615.877175,/collect,1146.99,1
1776368616.813149,/collect,1509.83,1
1776368616.294780,/collect,2315.69,1
1776368617.670300,/collect,1364.45,1
1776368611.746785,/collect,7750.28,1
1776368611.749720,/collect,7769.33,1
1776368611.751158,/collect,7852.6,1
1776368611.745063,/collect,7861.06,1
1776368611.754530,/collect,8242.04,1
1776368616.371356,/collect,3948.69,1
1776368616.172116,/collect,4532.92,1
1776368620.158313,/collect,552.05,1
1776368619.343657,/collect,2061.99,1
1776368619.613541,/collect,2697.5,1
1776368620.836815,/collect,1649.36,1
1776368619.484111,/collect,3466.99,1
1776368620.915998,/collect,2190.65,1
1776368620.363706,/collect,2852.32,1
1776368621.630404,/collect,1797.25,1
1776368620.888109,/collect,2914.68,1
1776368622.424177,/collect,1586.22,1
1776368623.116276,/collect,2386.9,1
1776368623.945417,/collect,2162.54,1
1776368621.643031,/collect,4667.56,1
1776368623.985922,/collect,2417.63,1
1776368623.783916,/collect,2730.93,1
1776368621.772903,/collect,4847.59,1
1776368624.081886,/collect,2833.83,1
1776368624.147460,/collect,3351.04,1
1776368626.751493,/collect,1946.94,1
1776368625.269490,/collect,3449.32,1
1776368625.291502,/collect,3521.27,1
1776368627.574252,/collect,1938.54,1
1776368627.245600,/collect,2432.75,1
1776368627.420673,/collect,2289.11,1
1776368628.083538,/collect,1922.77,1
