epoch_s,name,response_time_ms,success
1776554146.060780,/collect,7553.51,1
1776554146.053689,/collect,7561.22,1
1776554154.764801,/collect,263.25,1
1776554155.015219,/collect,8128.5,1
1776554155.561784,/collect,7841.96,1
1776554163.666443,/collect,261.31,1
1776554164.232823,/collect,230.2,1
1776554164.921882,/collect,234.91,1
1776554165.587523,/collect,251.22,1
1776554166.998878,/collect,3825.23,1
1776554171.902112,/collect,302.32,1
1776554172.948650,/collect,298.78,1
1776554166.212705,/collect,7751.83,1
1776554174.561190,/collect,299.58,1
1776554174.592588,/collect,302.23,1
1776554175.639780,/collect,303.51,1
1776554176.161992,/collect,261.77,1
1776554177.086012,/collect,8012.89,1
1776554177.879230,/collect,7986.1,1
1776554186.509312,/collect,301.41,1
1776554186.595789,/collect,326.44,1
1776554188.081563,/collect,278.94,1
1776554188.417955,/collect,299.29,1
1776554188.923817,/collect,298.84,1
1776554189.438466,/collect,297.36,1
1776554190.467625,/collect,286.95,1
1776554191.211511,/collect,308.57,1
1776554191.878973,/collect,280.93,1
1776554192.229582,/collect,306.85,1
1776554193.213594,/collect,303.61,1
1776554193.907065,/collect,314.28,1
1776554194.114659,/collect,298.01,1
1776554195.055696,/collect,299.86,1
1776554195.654346,/collect,304.96,1
1776554196.046749,/collect,300.59,1
1776554197.190450,/collect,274.98,1
1776554197.297900,/collect,322.47,1
1776554198.459285,/collect,299.91,1
1776554198.573756,/collect,291.78,1
1776554199.438514,/collect,297.45,1
1776554200.294054,/collect,326.37,1
1776554200.679849,/collect,256.18,1
1776554201.211602,/collect,248.39,1
1776554206.191284,/collect,3436.2,1
1776554206.192485,/collect,3823.6,1
1776554206.191859,/collect,3937.2,1
1776554206.145784,/collect,4278.48,1
1776554206.138002,/collect,4679.88,1
1776554206.141660,/collect,4685.77,1
1776554206.194227,/collect,4645.72,1
1776554206.193631,/collect,5538.46,1
1776554206.193097,/collect,5728.91,1
1776554206.190144,/collect,5747.24,1
1776554202.409866,/collect,9813.67,1
1776554206.190705,/collect,6142.99,1
1776554210.372536,/collect,2449.73,1
1776554206.188833,/collect,6951.91,1
1776554211.252132,/collect,2088.42,1
1776554206.143694,/collect,7275.55,1
1776554211.757519,/collect,1676.45,1
1776554206.148726,/collect,7369.27,1
1776554206.189536,/collect,7335.11,1
1776554206.150902,/collect,7387.69,1
1776554206.181599,/collect,7760.98,1
1776554211.403612,/collect,2636.96,1
1776554202.306350,/collect,11832.28,1
1776554206.180315,/collect,7970.08,1
1776554206.183532,/collect,8036.49,1
1776554206.182905,/collect,8051.21,1
1776554206.182289,/collect,8057.06,1
1776554206.184815,/collect,8142.49,1
1776554206.138861,/collect,8224.47,1
1776554206.188191,/collect,8263.97,1
1776554206.178572,/collect,8370.48,1
1776554206.185544,/collect,8370.17,1
1776554206.140447,/collect,8606.95,1
1776554206.180971,/collect,8570.64,1
1776554206.142923,/collect,8610.75,1
1776554206.187318,/collect,8566.54,1
1776554206.150031,/collect,8604.01,1
1776554206.186468,/collect,8568.33,1
1776554206.148015,/collect,8617.25,1
1776554210.884414,/collect,3945.41,1
1776554206.184139,/collect,8648.68,1
1776554206.149365,/collect,8688.53,1
1776554206.145149,/collect,8711.56,1
1776554206.139590,/collect,8810.17,1
1776554206.179425,/collect,8771.91,1
1776554216.239479,/collect,2463.73,1
1776554216.254116,/collect,2964.1,1
1776554214.155915,/collect,5139.2,1
1776554215.247623,/collect,4473.7,1
1776554214.449980,/collect,5490.25,1
1776554214.259284,/collect,6636.36,1
1776554215.431900,/collect,7890.33,1
1776554215.420559,/collect,8295.57,1
1776554215.598300,/collect,8297.73,1
1776554214.868155,/collect,9748.28,1
1776554215.566099,/collect,9061.08,1
1776554215.458566,/collect,9364.56,1
1776554214.910831,/collect,9918.78,1
1776554220.286379,/collect,4643.2,1
1776554215.058749,/collect,10169.38,1
1776554215.168981,/collect,10131.36,1
1776554215.502170,/collect,9892.92,1
1776554219.965650,/collect,5452.71,1
1776554215.368025,/collect,10056.19,1
1776554220.631268,/collect,4797.65,1
1776554215.318247,/collect,10175.72,1
1776554215.436838,/collect,10192.17,1
1776554215.779020,/collect,9945.01,1
1776554215.266677,/collect,10527.39,1
1776554215.283264,/collect,10534.12,1
1776554215.798146,/collect,10231.63,1
1776554215.313199,/collect,10811.64,1
1776554215.526421,/collect,10601.63,1
1776554211.922225,/collect,14278.96,1
1776554215.826476,/collect,10409.73,1
1776554212.942515,/collect,13383.58,1
1776554215.256245,/collect,11070.67,1
1776554219.711958,/collect,6615.6,1
1776554215.263125,/collect,11065.08,1
1776554214.221350,/collect,12116.68,1
1776554220.056442,/collect,6542.98,1
1776554212.434136,/collect,14166.16,1
1776554212.037993,/collect,14594.66,1
1776554212.927097,/collect,14097.95,1
1776554215.689535,/collect,11340.33,1
1776554213.412150,/collect,13818.7,1
1776554225.388865,/collect,3112.47,1
1776554212.479767,/collect,16062.23,1
1776554213.997745,/collect,14606.74,1
1776554222.125787,/collect,6693.1,1
1776554213.944067,/collect,15085.22,1
1776554212.873709,/collect,16553.16,1
1776554224.450411,/collect,5178.02,1
1776554226.261814,/collect,3870.09,1
1776554225.583122,/collect,4748.07,1
1776554225.753600,/collect,5376.39,1
1776554226.084688,/collect,5139.43,1
1776554227.324399,/collect,4098.81,1
1776554224.090747,/collect,7347.17,1
1776554226.056023,/collect,5474.37,1
1776554226.148069,/collect,5468.7,1
1776554225.196244,/collect,6600.06,1
1776554227.102437,/collect,4919.38,1
1776554225.775049,/collect,6454.64,1
1776554226.354254,/collect,5879.93,1
1776554226.347502,/collect,5978.85,1
1776554226.292576,/collect,6207.86,1
1776554226.123043,/collect,6572.57,1
1776554227.387032,/collect,5340.97,1
1776554226.434508,/collect,6568.73,1
1776554226.935022,/collect,6383.53,1
1776554227.062810,/collect,6259.09,1
1776554226.368681,/collect,6967.17,1
1776554229.511685,/collect,4313.3,1
1776554227.421560,/collect,6501.79,1
1776554228.073460,/collect,6143.57,1
1776554227.006842,/collect,7364.29,1
1776554229.181068,/collect,5241.79,1
1776554227.045358,/collect,7971.57,1
1776554227.823562,/collect,7198.33,1
1776554229.995177,/collect,5133.9,1
1776554228.386696,/collect,6844.69,1
1776554226.650134,/collect,8581.53,1
1776554227.015981,/collect,8215.84,1
1776554228.043906,/collect,7189.53,1
1776554226.973023,/collect,8260.94,1
1776554229.831981,/collect,5592.86,1
1776554227.711083,/collect,7730.72,1
1776554231.130440,/collect,4499.37,1
1776554230.518893,/collect,5204.84,1
1776554231.772788,/collect,4328.45,1
1776554230.731615,/collect,5597.38,1
1776554232.273057,/collect,4461.64,1
1776554233.508816,/collect,3415.99,1
1776554232.041971,/collect,4889.88,1
1776554232.688848,/collect,4287.63,1
1776554227.875155,/collect,9156.73,1
1776554227.633129,/collect,9402.37,1
1776554229.485489,/collect,7638.2,1
1776554233.325235,/collect,3903.93,1
1776554232.269560,/collect,5252.55,1
1776554232.607134,/collect,5108.58,1
1776554233.097301,/collect,4819.85,1
1776554232.917676,/collect,5210.57,1
1776554238.259115,/collect,333.41,1
1776554229.971613,/collect,8751.47,1
1776554234.130043,/collect,4596.87,1
1776554234.997100,/collect,3904.25,1
1776554233.350260,/collect,5871.79,1
1776554234.297790,/collect,4930.13,1
1776554239.197975,/collect,386.36,1
1776554234.662367,/collect,5074.47,1
1776554239.365603,/collect,456.27,1
1776554233.188194,/collect,6644.41,1
1776554233.056805,/collect,6872.84,1
1776554235.309362,/collect,4708.69,1
1776554234.423282,/collect,5707.84,1
1776554235.176616,/collect,5118.83,1
1776554240.026600,/collect,308.92,1
1776554236.276859,/collect,4362.22,1
1776554235.334869,/collect,5463.03,1
1776554240.600878,/collect,306.27,1
1776554236.171998,/collect,5254.75,1
1776554240.899841,/collect,571.64,1
1776554241.203633,/collect,362.29,1
1776554240.961582,/collect,627.16,1
1776554238.260056,/collect,3637.4,1
1776554236.318469,/collect,5610.36,1
1776554233.670431,/collect,8456.23,1
1776554234.708329,/collect,7613.39,1
1776554242.199375,/collect,390.31,1
1776554238.958838,/collect,3663.61,1
1776554237.635590,/collect,5188.68,1
1776554236.648688,/collect,6176.58,1
1776554238.391082,/collect,4455.06,1
1776554242.354273,/collect,519.3,1
1776554242.579038,/collect,314.57,1
1776554238.334487,/collect,4561.54,1
1776554239.001347,/collect,3994.44,1
1776554236.674350,/collect,6355.85,1
1776554238.391982,/collect,4802.03,1
1776554237.108300,/collect,6201.81,1
1776554243.028284,/collect,368.96,1
1776554236.570487,/collect,6846.72,1
1776554236.133783,/collect,7289.52,1
1776554242.881109,/collect,591.68,1
1776554242.907398,/collect,574.45,1
1776554237.710655,/collect,5810.14,1
1776554236.594112,/collect,6928.12,1
1776554240.395063,/collect,3523.11,1
1776554236.938277,/collect,7082.96,1
1776554240.883389,/collect,3146.9,1
