RAW_DATA | iomt-3546 | execution_time: 0.487528s | queueing_delay: 0.000684s
RAW_DATA | iomt-3647 | execution_time: 0.497379s | queueing_delay: 0.006952s
RAW_DATA | iomt-2127 | execution_time: 0.247119s | queueing_delay: 0.000623s
RAW_DATA | iomt-2824 | execution_time: 0.271480s | queueing_delay: 0.000750s
RAW_DATA | iomt-3546 | execution_time: 0.406957s | queueing_delay: 0.000678s
RAW_DATA | iomt-2127 | execution_time: 0.247132s | queueing_delay: 0.000771s
RAW_DATA | iomt-3647 | execution_time: 0.602332s | queueing_delay: 0.010602s
RAW_DATA | iomt-2824 | execution_time: 0.508400s | queueing_delay: 0.000784s
RAW_DATA | iomt-3647 | execution_time: 0.537122s | queueing_delay: 0.000652s
RAW_DATA | iomt-3546 | execution_time: 0.516301s | queueing_delay: 0.001056s
RAW_DATA | iomt-2127 | execution_time: 0.242912s | queueing_delay: 0.000863s
RAW_DATA | iomt-2824 | execution_time: 0.250287s | queueing_delay: 0.000723s
RAW_DATA | iomt-3647 | execution_time: 0.240990s | queueing_delay: 0.000832s
RAW_DATA | iomt-3546 | execution_time: 0.262015s | queueing_delay: 0.001304s
RAW_DATA | iomt-2127 | execution_time: 0.247716s | queueing_delay: 0.000607s
RAW_DATA | iomt-2824 | execution_time: 0.250120s | queueing_delay: 0.000780s
RAW_DATA | iomt-3647 | execution_time: 0.300203s | queueing_delay: 0.000691s
RAW_DATA | iomt-2824 | execution_time: 0.247366s | queueing_delay: 0.000690s
RAW_DATA | iomt-3546 | execution_time: 0.268296s | queueing_delay: 0.000590s
RAW_DATA | iomt-2127 | execution_time: 0.511183s | queueing_delay: 0.000742s
RAW_DATA | iomt-3647 | execution_time: 0.634629s | queueing_delay: 0.001396s
RAW_DATA | iomt-2824 | execution_time: 0.592009s | queueing_delay: 0.000700s
RAW_DATA | iomt-3546 | execution_time: 0.244107s | queueing_delay: 0.000738s
RAW_DATA | iomt-2127 | execution_time: 0.244693s | queueing_delay: 0.000678s
RAW_DATA | iomt-3647 | execution_time: 0.234513s | queueing_delay: 0.000687s
RAW_DATA | iomt-2824 | execution_time: 0.218652s | queueing_delay: 0.000627s
RAW_DATA | iomt-2127 | execution_time: 0.332261s | queueing_delay: 0.000744s
RAW_DATA | iomt-3546 | execution_time: 0.242368s | queueing_delay: 0.000932s
RAW_DATA | iomt-3647 | execution_time: 0.395829s | queueing_delay: 0.006547s
RAW_DATA | iomt-2824 | execution_time: 0.238263s | queueing_delay: 0.000784s
RAW_DATA | iomt-2127 | execution_time: 0.272116s | queueing_delay: 0.000663s
RAW_DATA | iomt-3647 | execution_time: 0.244979s | queueing_delay: 0.000700s
RAW_DATA | iomt-3546 | execution_time: 0.217810s | queueing_delay: 0.000689s
RAW_DATA | iomt-2127 | execution_time: 0.298015s | queueing_delay: 0.000666s
RAW_DATA | iomt-2824 | execution_time: 0.252684s | queueing_delay: 0.000913s
RAW_DATA | iomt-3647 | execution_time: 0.208747s | queueing_delay: 0.001095s
RAW_DATA | iomt-3546 | execution_time: 0.375960s | queueing_delay: 0.000674s
RAW_DATA | iomt-2127 | execution_time: 0.474601s | queueing_delay: 0.000863s
RAW_DATA | iomt-2824 | execution_time: 0.241356s | queueing_delay: 0.000710s
RAW_DATA | iomt-3647 | execution_time: 0.258618s | queueing_delay: 0.000882s
RAW_DATA | iomt-3546 | execution_time: 0.216637s | queueing_delay: 0.000592s
RAW_DATA | iomt-2824 | execution_time: 0.228860s | queueing_delay: 0.000661s
RAW_DATA | iomt-2127 | execution_time: 0.243438s | queueing_delay: 0.000608s
RAW_DATA | iomt-3647 | execution_time: 0.333560s | queueing_delay: 0.000669s
RAW_DATA | iomt-3546 | execution_time: 0.291607s | queueing_delay: 0.000677s
RAW_DATA | iomt-2127 | execution_time: 0.265146s | queueing_delay: 0.000878s
RAW_DATA | iomt-2824 | execution_time: 0.286114s | queueing_delay: 0.000845s
RAW_DATA | iomt-3647 | execution_time: 0.243032s | queueing_delay: 0.000822s
RAW_DATA | iomt-2824 | execution_time: 0.248283s | queueing_delay: 0.000663s
RAW_DATA | iomt-3546 | execution_time: 0.520125s | queueing_delay: 0.000726s
RAW_DATA | iomt-2127 | execution_time: 0.823108s | queueing_delay: 0.000651s
RAW_DATA | iomt-3647 | execution_time: 0.697480s | queueing_delay: 0.006308s
RAW_DATA | iomt-2824 | execution_time: 0.252099s | queueing_delay: 0.000724s
RAW_DATA | iomt-2127 | execution_time: 0.248158s | queueing_delay: 0.000633s
RAW_DATA | iomt-3647 | execution_time: 0.458737s | queueing_delay: 0.000564s
RAW_DATA | iomt-3546 | execution_time: 0.503073s | queueing_delay: 0.022651s
RAW_DATA | iomt-2127 | execution_time: 0.219655s | queueing_delay: 0.000895s
RAW_DATA | iomt-2824 | execution_time: 0.247237s | queueing_delay: 0.000731s
RAW_DATA | iomt-3546 | execution_time: 0.489646s | queueing_delay: 0.000675s
RAW_DATA | iomt-2127 | execution_time: 0.247691s | queueing_delay: 0.000594s
RAW_DATA | iomt-3647 | execution_time: 0.552140s | queueing_delay: 0.001078s
RAW_DATA | iomt-2127 | execution_time: 0.372655s | queueing_delay: 0.000623s
RAW_DATA | iomt-2824 | execution_time: 0.475300s | queueing_delay: 0.000748s
RAW_DATA | iomt-3546 | execution_time: 0.501855s | queueing_delay: 0.000582s
RAW_DATA | iomt-3647 | execution_time: 0.554265s | queueing_delay: 0.006064s
RAW_DATA | iomt-2127 | execution_time: 0.478534s | queueing_delay: 0.000762s
RAW_DATA | iomt-2824 | execution_time: 0.540420s | queueing_delay: 0.006112s
RAW_DATA | iomt-3546 | execution_time: 0.259347s | queueing_delay: 0.000795s
RAW_DATA | iomt-3647 | execution_time: 0.282071s | queueing_delay: 0.000804s
RAW_DATA | iomt-2824 | execution_time: 0.257408s | queueing_delay: 0.001101s
RAW_DATA | iomt-2127 | execution_time: 0.274565s | queueing_delay: 0.000592s
RAW_DATA | iomt-3546 | execution_time: 0.249920s | queueing_delay: 0.000621s
RAW_DATA | iomt-3647 | execution_time: 0.244785s | queueing_delay: 0.000636s
RAW_DATA | iomt-3546 | execution_time: 0.242785s | queueing_delay: 0.000701s
RAW_DATA | iomt-2127 | execution_time: 0.410792s | queueing_delay: 0.000824s
RAW_DATA | iomt-2824 | execution_time: 0.494021s | queueing_delay: 0.006752s
RAW_DATA | iomt-3647 | execution_time: 0.248139s | queueing_delay: 0.000792s
RAW_DATA | iomt-3546 | execution_time: 0.245487s | queueing_delay: 0.000744s
RAW_DATA | iomt-2127 | execution_time: 0.271212s | queueing_delay: 0.000578s
RAW_DATA | iomt-3647 | execution_time: 0.242371s | queueing_delay: 0.000608s
RAW_DATA | iomt-3546 | execution_time: 0.262738s | queueing_delay: 0.001004s
RAW_DATA | iomt-2824 | execution_time: 0.311341s | queueing_delay: 0.006363s
RAW_DATA | iomt-2127 | execution_time: 0.250210s | queueing_delay: 0.000601s
RAW_DATA | iomt-3647 | execution_time: 0.249060s | queueing_delay: 0.000830s
RAW_DATA | iomt-3546 | execution_time: 0.248843s | queueing_delay: 0.000735s
RAW_DATA | iomt-2127 | execution_time: 0.248091s | queueing_delay: 0.000690s
RAW_DATA | iomt-2824 | execution_time: 0.357025s | queueing_delay: 0.000691s
RAW_DATA | iomt-3647 | execution_time: 0.503594s | queueing_delay: 0.006141s
RAW_DATA | iomt-2127 | execution_time: 0.387998s | queueing_delay: 0.000930s
RAW_DATA | iomt-3546 | execution_time: 0.311214s | queueing_delay: 0.000892s
RAW_DATA | iomt-3647 | execution_time: 0.606384s | queueing_delay: 0.000625s
RAW_DATA | iomt-2824 | execution_time: 0.599642s | queueing_delay: 0.004629s
RAW_DATA | iomt-2127 | execution_time: 0.796622s | queueing_delay: 0.007945s
RAW_DATA | iomt-3546 | execution_time: 0.201989s | queueing_delay: 0.000624s
RAW_DATA | iomt-2127 | execution_time: 0.648264s | queueing_delay: 0.000713s
RAW_DATA | iomt-2824 | execution_time: 0.802156s | queueing_delay: 0.006417s
RAW_DATA | iomt-3647 | execution_time: 0.780174s | queueing_delay: 0.018692s
RAW_DATA | iomt-3546 | execution_time: 0.283062s | queueing_delay: 0.001022s
RAW_DATA | iomt-2127 | execution_time: 0.252237s | queueing_delay: 0.000656s
RAW_DATA | iomt-2824 | execution_time: 0.238497s | queueing_delay: 0.000724s
RAW_DATA | iomt-3546 | execution_time: 0.247766s | queueing_delay: 0.000689s
RAW_DATA | iomt-3647 | execution_time: 0.242535s | queueing_delay: 0.000605s
RAW_DATA | iomt-2127 | execution_time: 0.227337s | queueing_delay: 0.000925s
RAW_DATA | iomt-3546 | execution_time: 0.241891s | queueing_delay: 0.001031s
