Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/collect,2865,4,700,1528.4281766330612,56.81976000778377,17962.088560918346,105.34589877835951,5.96922528088715,0.008333996901762165,700,1000,1300,1500,3500,8300,9100,10000,18000,18000,18000
,Aggregated,2865,4,700,1528.4281766330612,56.81976000778377,17962.088560918346,105.34589877835951,5.96922528088715,0.008333996901762165,700,1000,1300,1500,3500,8300,9100,10000,18000,18000,18000
