epoch_s,name,response_time_ms,success
1776365490.461150,/collect,1064.04,1
1776365492.595638,/collect,893.26,1
1776365494.580877,/collect,2013.15,1
1776365497.606193,/collect,1820.33,1
1776365500.217669,/collect,1680.73,1
1776365502.657572,/collect,1556.31,1
1776365505.429534,/collect,1620.84,1
1776365507.701695,/collect,1989.91,1
1776365511.032180,/collect,1577.09,1
1776365513.714010,/collect,1856.07,1
1776365516.184485,/collect,1705.62,1
1776365518.514147,/collect,1621.99,1
1776365520.711358,/collect,1684.56,1
1776365523.756070,/collect,1737.19,1
1776365526.745371,/collect,1780.68,1
1776365529.429491,/collect,776.41,1
1776365530.838955,/collect,745.14,1
1776365532.997261,/collect,788.03,1
1776365534.789286,/collect,624.72,1
1776365536.420078,/collect,763.15,1
1776365538.609678,/collect,596.42,1
1776365539.712254,/collect,890.65,1
1776365541.261120,/collect,741.34,1
1776365543.111920,/collect,714.22,1
1776365544.861402,/collect,849.96,1
1776365546.832002,/collect,855.64,1
1776365548.478018,/collect,626.8,1
1776365550.169253,/collect,821.4,1
1776365550.553878,/collect,748.25,1
1776365551.975844,/collect,839.49,1
1776365552.151730,/collect,757.73,1
1776365553.429479,/collect,653.9,1
1776365554.100859,/collect,807.62,1
1776365554.928978,/collect,860.31,1
1776365555.948979,/collect,736.55,1
1776365557.064182,/collect,728.57,1
1776365557.191868,/collect,785.12,1
1776365558.366869,/collect,846.8,1
1776365558.860904,/collect,822.15,1
1776365560.054979,/collect,756.67,1
1776365560.554783,/collect,2064.4,1
1776365560.838178,/collect,2146.88,1
1776365562.202052,/collect,1395.72,1
1776365563.232814,/collect,686.89,1
1776365564.011301,/collect,759.54,1
1776365564.911664,/collect,798.14,1
1776365564.956721,/collect,844.08,1
1776365565.694179,/collect,916.48,1
1776365566.282042,/collect,1034.66,1
1776365567.064766,/collect,720.33,1
1776365568.018983,/collect,1469.36,1
1776365568.346112,/collect,1373.3,1
1776365569.164641,/collect,851.5,1
1776365570.555181,/collect,737.18,1
1776365570.616272,/collect,1380.31,1
1776365570.979675,/collect,2006.33,1
1776365571.151903,/collect,2155.62,1
1776365572.339475,/collect,1472.11,1
1776365572.497436,/collect,1616.1,1
1776365574.093483,/collect,875.54,1
1776365574.345322,/collect,1161.76,1
1776365574.839022,/collect,1131.85,1
1776365575.082538,/collect,905.95,1
1776365575.987230,/collect,835.89,1
1776365576.867780,/collect,1509.85,1
1776365576.608053,/collect,1897.01,1
1776365576.756777,/collect,1844.11,1
1776365577.335573,/collect,1372.57,1
1776365579.250176,/collect,764.31,1
1776365580.035149,/collect,1178.46,1
1776365579.829829,/collect,1561.09,1
1776365580.556223,/collect,1433.01,1
1776365580.174013,/collect,2308.17,1
1776365581.752861,/collect,968.66,1
1776365581.295207,/collect,2104.16,1
1776365582.913213,/collect,1097.07,1
1776365582.632817,/collect,1960.22,1
1776365583.636092,/collect,1091.25,1
1776365583.511015,/collect,1504.1,1
1776365584.877100,/collect,1208.93,1
1776365585.151711,/collect,1666.76,1
1776365585.228623,/collect,1764.24,1
1776365585.515866,/collect,1893.5,1
1776365586.321771,/collect,1170.83,1
1776365587.013385,/collect,1194.34,1
1776365588.010125,/collect,769.22,1
1776365587.892562,/collect,1688.34,1
1776365588.659038,/collect,1435.47,1
1776365588.784717,/collect,1419.73,1
1776365588.852105,/collect,1639.34,1
1776365590.474508,/collect,831.23,1
1776365590.154142,/collect,1435.56,1
1776365590.556361,/collect,2053.09,1
1776365591.433403,/collect,1452.34,1
1776365592.113562,/collect,1277.64,1
1776365593.172564,/collect,1121.96,1
1776365591.668089,/collect,4422.81,1
1776365595.780109,/collect,841.29,1
1776365590.784336,/collect,6195.62,1
1776365592.534655,/collect,4641.52,1
1776365593.637332,/collect,3838.51,1
1776365593.966372,/collect,3714.44,1
1776365597.785393,/collect,1602.76,1
1776365597.282915,/collect,2319.86,1
1776365597.880057,/collect,2010.0,1
1776365597.524471,/collect,2769.14,1
1776365598.317873,/collect,2459.25,1
1776365599.968607,/collect,1549.08,1
1776365598.560536,/collect,3234.21,1
1776365600.351437,/collect,2124.63,1
1776365600.681525,/collect,2815.84,1
1776365601.620235,/collect,2269.46,1
1776365600.557146,/collect,3748.09,1
1776365602.593745,/collect,1894.94,1
1776365601.018854,/collect,3470.82,1
1776365602.857048,/collect,2035.52,1
1776365603.848825,/collect,2047.85,1
1776365605.110278,/collect,1688.86,1
1776365605.597187,/collect,1899.68,1
1776365604.676645,/collect,3117.16,1
1776365605.371451,/collect,2608.27,1
1776365605.376196,/collect,2751.65,1
1776365606.392655,/collect,2765.83,1
1776365608.092236,/collect,1441.96,1
1776365608.505803,/collect,2275.08,1
1776365607.330966,/collect,3851.54,1
1776365607.140027,/collect,4169.95,1
1776365609.279150,/collect,2131.87,1
1776365609.326804,/collect,3275.86,1
1776365610.234992,/collect,3059.65,1
1776365609.976169,/collect,3331.3,1
1776365610.598863,/collect,3267.53,1
1776365612.082426,/collect,5035.28,1
1776365612.348165,/collect,5767.01,1
1776365614.491484,/collect,4157.9,1
1776365612.235333,/collect,6486.84,1
1776365613.632323,/collect,5688.71,1
1776365612.557587,/collect,7084.23,1
1776365613.843442,/collect,8266.36,1
1776365618.705026,/collect,4072.24,1
1776365619.451838,/collect,3562.44,1
1776365614.511227,/collect,8628.48,1
1776365624.256190,/collect,3525.32,1
1776365617.891255,/collect,9940.62,1
1776365620.176121,/collect,7916.56,1
1776365624.033204,/collect,4469.59,1
