Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/collect,868,1,690,2326.1504971686736,219.66952015645802,19968.735866015777,105.38594470046083,2.0618128239302056,0.0023753603962329557,700,1500,2200,4200,8200,9100,10000,11000,20000,20000,20000
,Aggregated,868,1,690,2326.1504971686736,219.66952015645802,19968.735866015777,105.38594470046083,2.0618128239302056,0.0023753603962329557,700,1500,2200,4200,8200,9100,10000,11000,20000,20000,20000
