Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/collect,341,0,300,760.0641532130594,237.46746708638966,8802.084953989834,104.79765395894428,1.1366441838446524,0.0,300,310,340,360,450,4100,8000,8000,8800,8800,8800
,Aggregated,341,0,300,760.0641532130594,237.46746708638966,8802.084953989834,104.79765395894428,1.1366441838446524,0.0,300,310,340,360,450,4100,8000,8000,8800,8800,8800
