Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/collect,539,0,720,1182.7983011001872,256.7638129999068,5976.014338999903,105.35250463821892,1.7947190455603914,0.0,720,1000,1400,1700,2600,4500,5300,5400,6000,6000,6000
,Aggregated,539,0,720,1182.7983011001872,256.7638129999068,5976.014338999903,105.35250463821892,1.7947190455603914,0.0,720,1000,1400,1700,2600,4500,5300,5400,6000,6000,6000
