time,users,rps,p95,p99,avg_lat,threshold
29,2.0,1.45,430.0,430.0,586.8893376818893,2.0 (Aggressive)
30,2.0,1.25,2180.0,2180.0,640.64842978509,2.0 (Aggressive)
31,2.0,1.3,2165.0,2165.0,639.721537237901,2.0 (Aggressive)
32,2.0,1.35,2175.0,2175.0,630.1134092441448,2.0 (Aggressive)
33,2.0,1.2000000000000002,3985.0,3985.0,730.3995675104566,2.0 (Aggressive)
34,2.0,1.15,3985.0,3985.0,707.05449630426,2.0 (Aggressive)
35,2.0,1.2000000000000002,3985.0,3985.0,685.6337953791289,2.0 (Aggressive)
36,2.0,1.25,3985.0,3985.0,674.9140656667582,2.0 (Aggressive)
37,2.0,1.25,3985.0,3985.0,664.017063591683,2.0 (Aggressive)
38,2.0,1.25,3985.0,3985.0,647.172701453081,2.0 (Aggressive)
39,2.0,1.3,3985.0,3985.0,639.8150410608713,2.0 (Aggressive)
40,2.0,1.35,3985.0,3985.0,632.5980300574058,2.0 (Aggressive)
41,2.0,1.45,3985.0,3985.0,618.3242397354405,2.0 (Aggressive)
42,2.0,1.5499999999999998,400.0,400.0,605.0509255659624,2.0 (Aggressive)
43,2.0,1.5499999999999998,360.0,360.0,605.0509255659624,2.0 (Aggressive)
44,2.0,1.6,360.0,360.0,592.9659813972227,2.0 (Aggressive)
45,2.0,1.6,345.0,345.0,582.1721524475172,2.0 (Aggressive)
46,2.0,1.0499999999999998,4235.0,4235.0,641.3853870906556,2.0 (Aggressive)
47,2.0,1.05,4235.0,4235.0,693.7812201533123,2.0 (Aggressive)
48,2.0,0.95,4225.0,4225.0,683.7499341766043,2.0 (Aggressive)
49,2.0,0.85,4210.0,4210.0,670.1380990886853,2.0 (Aggressive)
50,2.0,0.7999999999999999,4210.0,4210.0,666.1250293778958,2.0 (Aggressive)
51,2.0,0.7999999999999999,4210.0,4210.0,666.1250293778958,2.0 (Aggressive)
52,2.0,0.8999999999999999,4210.0,4210.0,662.0474226997026,2.0 (Aggressive)
53,2.0,1.1,4210.0,4210.0,658.3570008281208,2.0 (Aggressive)
54,2.0,1.05,6050.0,6050.0,683.7992350994714,2.0 (Aggressive)
55,2.0,1.05,6050.0,6050.0,680.7516828861775,2.0 (Aggressive)
